-1,Løkkes Valgflæsk,-1,-1,-1,-1
-1,"Man skal godt nok være iskold, når man i 4 år som Statsminister og hele sit politiske liv kun har rundbarberet velfærden, og skåret ind i benet på velfærdsstaten.",-1,-1,-1,-2
0,Og så stå og love mange miliarder til velfærden. ,0,0,0,0
-2,Den er godt nok styg !,-2,-1,-1,-1
-2,"Helt ærligt, det klinger meget hult, som i meget meget hult.",-1,-2,-2,-1
-1,"Løkke har haft 4 år til at rette op, på Venstres tidligere nedskæringer som bla har ødelagt skat, gjort kollektiv trafik dårligere og dyre, kommunernes og sundhedsvæsnet behandlings muligheder over for syge og værdigt trængende dårligere. ",-1,-2,-1,-1
-1,Uddannelser har også fået med trommeskruen.,0,0,-1,-1
-1,"I stedet har Løkke delt miliarder af skattelettelser ud til landets rigeste, så hvorfor skulle man tro på den mand nu, vis troværdighed ligger under en dårlig brugtvognshandler.",-1,-1,-1,-1
-1,"Valgflæsken er simpelt hen så tyk, at den løber ned af Løkkes hage.",-1,-1,-1,-1
-1,"Det tror jeg godt Danskerne kan se, de tror ikke på ham over en dørtærskel !",-1,-1,-1,-1
-1,Sikker på det ikke er hans øjne der har meldt sig ud??,0,-1,0,0
0,..... En af Palludans forældre har noget de skal forklare fordi de to ligner hinandens stunt doubles 😂,0,0,0,0
-1,Han var ikke savnet!,-1,-1,-1,-1
-1,"Han ønskede jo at en anden skulle stille op til debat, da han ved han ikke er den skarpeste kniv i skuffen, så når MF lægger sig syg, så får Grenov ondt i pjækketarmen.",-1,-1,-1,-1
-1,Åh nej. ,-1,-1,-1,-1
-1,Endnu en skandale.,-1,-1,0,-1
0,Har LLR heller ikke ringet og spurt ham om lov til at udskrive valget...,0,0,0,0
0,Fy haa slemme slemme Lars 😄😄😄,0,1,-1,-1
0,Lækket? ,0,0,0,0
1,"Dejligt at TV2 viser lækkede skattepapirer, mens vi må forstå, at Helle Thornings skat er en privatsag selvom hende mand tjener millioner uden at betale en krone i skat i Danmark",-1,1,1,1
-1,Er nu mere interesseret i hans skatte papirer mens han har været pres rimelig sikker på han har et stort overskud på amerikanernes regning for ikke at snakke om profit på aktie handle vær gang han har været ude og truer med forskellige tiltag der har fået aktier til at falde for så købe billigt og sælge dyrt når han alligevel ikke fulde truslen op...,-1,-1,-1,-1
0,Har den store handelsmand alligevel forregnet sig.,0,0,0,0
-1,"Hvis de kommer ind, kan vi ende med et cirkus-folketing - lidt som den gang Fælles Kurs (ledet af ""sømandsbossen"" Preben Møller Hansen) kom ind - samtidig med at der også var både Venstresocialister (som stadig havde revolution på deres dagsorden, Mogens Glistrup med Fremskridtspartiet osv. ",-1,-1,-1,-1
-2,"Det er demokratiet fra sin værste side, når lavintelligente vælgere flokkes på yderfløjene og skaber et parlament som spilder meget tid på disses ævl og kævl.",-2,-2,-1,-1
0,"Sgu da fint at han samler alle jubeltosserne, så ved vi hvor de er.",-2,1,1,0
-1,Lav IQ må være deres kandidater 😱 en forskruet kunstner og nu en halv skør forsker 🤦‍♀️,-1,-2,-2,-1
-1,Det siger vist alt om det parti 🤔,0,-1,0,0
-2,Tænker mange indvandrere er noget mere kløgtige end rp og hans disciple af små racister osv 🙄,-2,-2,-2,0
0,Måske KD skulle overveje om ikke formand og næstformand burde bytte plads? ,0,0,0,0
0,"Partiet har ingen fremtid med Grenov på toppen, hvorimod unge Isabella Arendt kunne være lige netop det friske pust der kunne trække dem over spærregrænsen.",0,0,1,0
0,Giv dem da en stol at sidde på (de står der stille i 1 1/2 time) og man kunne også høre igår at flere forgæves spurgte efter mere vand.,-1,0,0,-1
0,Det kræver ikke den store ledvogter eksamen at se at næstformanden i langt højere grad har mulighed for at score stemmer. ,0,0,0,1
1,Jeg er uenig med politikken - men hun fremstod yderst kompetent.,1,1,1,1
2,Din næstformand gjorde det sindsygt godt taget alder og erfaring i betragtning. ,2,2,2,1
2,Hun overstrålede flere af de andre - var mere klar og præcis i hendes argumenter. ,2,2,2,2
2,Flot. ,2,2,2,1
1,Og ikke et tab at sende hende en anden gang.,1,1,1,1
1,"De havde rigtig godt af alle partiformændene, at komme i samme stue med RP. ",0,1,2,1
0,"Danskerne har ikke glemt indvandrere på motorveje, voldtægter, bilafbrændninger osv.",0,0,0,-1
0,"En mere sober opførsel fra studieværten ,ville have klædt debatten. ",-1,0,-1,-1
-1,Jeg bryder mig ikke om revolverjournalistik!,-1,-1,-1,-1
0,Hej TV2 nyhederne. ,0,0,0,0
0,"Hvorfor fortæller i ikke om Lars Løkkes skænderi med jeres studievært efter udsendelsen, som ikke forstod hvad negativ parlamentarisme går ud på? ",0,0,-1,-1
0,"Hvorfor tager vi ikke en debat om det, for tror der en del der ikke forstår det?",0,0,0,0
-1,"Løkke nævnte udenlandske forpligtelser, med hensyn til flygtninge, hvad mener han, at Danmark er forpligtet til at bombe deres lande synder og sammen, og så derfor skal modtage flygtninge? ",-1,-1,-1,-1
-1,"Syg kommentar, Danmark skal stoppe med at deltage i de krige.",-1,-2,-1,-1
-1,Synes det er kritisabelt at TV 2 ikke går politikerne mere på klingen mht. deres klimaplaner.,-1,-1,-1,-1
-1,"Det er fuldstændig urealistisk at opfylde de lovede mål og have 1 mio. EL biler uden også at at have kernekraft, medmindre man synes at EL-biler skal køre på brun-kul...",-1,-1,-2,-1
0,Så stiger skatter og afgifter igen,0,0,0,-1
0,"Jeg kan se hvordan det går i Sverige med en socialdemokratisk statsminister, det er ikke noget at stræbe efter.",-1,0,-1,-1
-1,Så må mange danskere lide af massivt hukommelsestab. ,-1,-1,-1,-1
